Type,ID,SedRed,Cost,Duck
WCMO,1006,90.778,161116.917,13.812
WCMO,1007,4.741,1021.017,3.188
WCMO,1008,3.565,6075.928,2.694
WCMO,1009,4.088,6587.267,2.904
WCMO,1010,7.409,12985.459,3.971
WCMO,1011,20.378,14700.934,6.451
WCMO,1012,36.264,37289.042,8.834
WCMO,1013,394.473,646576.698,29.599
WCMO,1014,4.432,7104.53,3.039
WCMO,1015,3.036,6966.287,2.504
WCMO,1016,19.324,15802.88,5.524
WCMO,1017,4.197,6992.831,2.963
WCMO,1018,2.037,5608.457,2.654
WCMO,1019,16.406,14909.415,7.523
WCMO,1020,2.714,5763.425,2.961
WCMO,1021,5.567,12693.891,4.629
WCMO,1022,7.946,8845.548,5.524
WCMO,1023,21.043,10930.052,8.332
WCMO,1024,19.672,16939.167,9.026
WCMO,1025,35.253,20878.075,7.41
WCMO,1026,32.028,20165.14,10.947
WCMO,1027,4.918,17460.128,2.795
WCMO,1030,5.037,771.627,2.67
WCMO,1031,6.691,1025.095,0.75
WCMO,1032,81.325,12561.641,10.794
WCMO,1033,85.972,23622.866,11.091
WCMO,1034,20.399,3130.249,5.371
WCMO,1035,39.192,6026.366,7.456
WCMO,1036,4.735,6016.574,2.6
WCMO,1037,273.552,87338.391,19.953
WCMO,1038,4.733,6016.122,2.595
WCMO,1039,41.553,6390.991,7.689
WCMO,1040,19.962,9293.402,5.349
WCMO,1041,3.79,580.479,2.305
WCMO,1042,3.82,585.111,2.315
WCMO,1043,12.239,1876.376,4.154
WCMO,1044,9.418,7603.156,3.641
WCMO,1045,39.956,40952.853,7.524
